     x       exp(x)
0.086552 0.199280 0.311066
0.420779 0.527297 0.629515
0.726365 0.816819 0.899903
0.974710 1.040404 1.096234
1.141539 1.175758 1.198437
1.209230 1.207911 1.194371
1.168621 1.130801 1.081166
1.020098 0.948095 0.865770
0.773848 0.673154 0.564613
0.449236 0.328114 0.202406
0.073329 -0.057855 -0.189848
-0.321332 -0.450981 -0.577475
-0.699511 -0.815817 -0.925168
-1.026395 -1.118400 -1.200166
-1.270768 -1.329384 -1.375306
-1.407945 -1.426838 -1.431658
-1.422216 -1.398462 -1.360492
-1.308543 -1.242998 -1.164377
-1.073340 -0.970676 -0.857301
-0.734243 -0.602644 -0.463739
-0.318850 -0.169373 -0.016763
0.137478 0.291817 0.444703
0.594588 0.739933 0.879234
1.011030 1.133921 1.246584
1.347781 1.436384 1.511374
1.571859 1.617090 1.646454
1.659499 1.655930 1.635615
1.598590 1.545059 1.475394
1.390133 1.289975 1.175778
1.048547 0.909431 0.759706
0.600772 0.434131 0.261382
0.084198 -0.095685 -0.276487
-0.456401 -0.633609 -0.806306
-0.972709 -1.131085 -1.279761
-1.417147 -1.541747 -1.652184
-1.747203 -1.825697 -1.886710
-1.929454 -1.953315 -1.957864
-1.942862 -1.908261 -1.854214
-1.781067 -1.689364 -1.579838
-1.453411 -1.311183 -1.154425
-0.984564 -0.803176 -0.611968
-0.412760 -0.207474 0.001888
0.213264 0.424552 0.633626
0.838364 1.036666 1.226474
1.405797 1.572725 1.725460
1.862320 1.981773 2.082444
2.163131 2.222824 2.260709
2.276188 2.268882 2.238632
2.185512 2.109828 2.012111
1.893122 1.753844 1.595472
1.419404 1.227234 1.020729
0.801819 0.572582 0.335215
0.092022 -0.154613 -0.402246
-0.648399 -0.890583 -1.126327
-1.353197 -1.568825 -1.770931
-1.957349 -2.126048 -2.275157
-2.402979 -2.508018 -2.588988
-2.644835 -2.674744 -2.678155
-2.654767 -2.604546 -2.527726
-2.424811 -2.296574 -2.144048
-1.968520 -1.771524 -1.554821
-1.320391 -1.070412 -0.807236
-0.533377 -0.251478 0.035710
0.325356 0.614572 0.900449
1.180083 0.010000 0.007851
0.007323 0.007193 0.007160
0.007152 0.007150 0.007150
0.007149 0.007148 0.007150
0.007143 0.007143 0.007155
0.007147 0.007148 0.007145
0.007145 0.007142 0.007142
0.007140 0.007134 0.007141
0.007141 0.007136 0.007137
0.007134 0.007134 0.007131
0.007133 0.007127 0.007127
0.007135 0.007128 0.007130
0.007127 0.007128 0.007126
0.007127 0.007127 0.007122
0.007130 0.007130 0.007129
0.007130 0.007130 0.007131
0.007131 0.007134 0.007131
0.007133 0.007141 0.007131
0.007141 0.007143 0.007141
0.007145 0.007144 0.007146
0.007146 0.007149 0.007146
0.007150 0.007151 0.007144
0.007157 0.007152 0.007151
0.007158 0.007153 0.007155
0.007153 0.007153 0.007151
0.007153 0.007148 0.007147
0.007154 0.007148 0.007149
0.007146 0.007145 0.007142
0.007141 0.007141 0.007134
0.007139 0.007136 0.007127
0.007140 0.007130 0.007133
0.007129 0.007128 0.007126
0.007126 0.007124 0.007122
0.007126 0.007118 0.007119
0.007130 0.007118 0.007128
0.007124 0.007126 0.007125
0.007127 0.007126 0.007128
0.007130 0.007126 0.007134
0.007136 0.007135 0.007139
0.007139 0.007142 0.007141
0.007146 0.007144 0.007145
0.007154 0.007145 0.007153
0.007158 0.007154 0.007159
0.007157 0.007158 0.007158
0.007160 0.007156 0.007159
0.007159 0.007151 0.007161
0.007157 0.007152 0.007160
0.007153 0.007153 0.007150
0.007149 0.007145 0.007145
0.007140 0.007136 0.007143
0.007136 0.007136 0.007132
0.007130 0.007127 0.007126
0.007125 0.007118 0.007122
0.007121 0.007112 0.007125
0.007116 0.007119 0.007117
0.007118 0.007116 0.007117
0.007117 0.007116 0.007122
0.007116 0.007119 0.007132
0.007121 0.007132 0.007131
0.007134 0.007134 0.007138
0.007139 0.007141 0.007145
0.007142 0.007150 0.007153
0.007146 0.007163 0.007157
0.007162 0.007162 0.007163
0.007163 0.007165 0.007165
0.007163 0.007168 0.007162
0.007160 0.007173 0.007160
0.007165 0.007163 0.007161
0.007158 0.007156 0.007153
0.007150 0.007150 0.007141
0.007142 0.007145 0.007136
0.007137 0.007131 0.007130
0.007125 0.007124 0.007119
0.007115 0.007121 0.007110
0.007109 0.007119 0.007108
0.007113 0.007108 0.007109
0.007107 0.007109 0.007107
0.007109 0.007113 0.007105
0.007116 0.007119 0.007114
0.007128 0.007124 0.007129
0.007130 0.007134 0.007135
0.007141 0.007141 0.007142
0.007154 0.007153 0.007158
0.007160 0.007163 0.007165
0.007166 0.007171 0.007167
0.007173 0.007177 0.007167
0.007181 0.007176 0.007177
0.007176 0.007175 0.007173
0.007171 0.007170 0.007165
0.007166 0.007160 0.007152
0.007162 0.007149 0.007149
0.007147 0.007141 0.007137
0.007133 0.007128 0.007124
0.007122 0.007113 0.007113
0.007115 0.007107 0.007107
0.007102 0.007102 0.007098
0.007099 0.007096 0.007093
0.007101 0.007093 0.007095
0.007106 0.007099 0.007107
0.007105 0.007110 0.007111
0.007116 0.007117 0.007122
0.007129 0.007124 0.007137
0.007144 0.007141 0.007156
0.007154 0.007161 0.007163
0.007168 0.007170 0.007175
0.007177 0.007176 0.007187
0.007186 0.007188 0.007189
0.007189 0.007190 0.007188
0.007190 0.007183 0.007184
0.007187 0.007173 0.007180
0.007176 0.007169 0.007167
0.007161 0.007156 0.007150
0.007146 0.007138 0.007136
0.007128 0.007117 0.007125
0.007112 0.007108 0.007107
0.007100 0.007097 0.007092
0.007089 0.007085 0.007086
0.007079 0.007080 0.007086
0.007073 0.007086 0.007085
0.007085 0.007089 0.007091
0.007094 0.007097 0.007102
0.007104 0.007113 0.007115
0.007117 0.007136 0.007132
0.007143 0.007151 0.007155
0.007161 0.007167 0.007173
0.007177 0.007185 0.007184
0.007191 0.007202 0.007199
0.007206 0.007205 0.007208
0.007207 0.007208 0.007208
0.007202 0.007207 0.007202
0.007192 0.007204 0.007189
0.007189 0.007181 0.007176
